title,metacriticScore,pageUrl,userScore,genre
The Legend of Zelda: Skyward Sword HD,81,https://www.metacritic.com/game/switch/the-legend-of-zelda-skyward-sword-hd,7.0,"Genre(s): Action Adventure, Open-World"
The Legend of Zelda: Link's Awakening,87,https://www.metacritic.com/game/switch/the-legend-of-zelda-links-awakening,8.4,"Genre(s): Action Adventure, Open-World"
The Legend of Zelda: Breath of the Wild,97,https://www.metacritic.com/game/switch/the-legend-of-zelda-breath-of-the-wild,8.7,"Genre(s): Action Adventure, Open-World"
The Legend of Zelda: Ocarina of Time,99,https://www.metacritic.com/game/nintendo-64/the-legend-of-zelda-ocarina-of-time,9.1,"Genre(s): Action Adventure, Fantasy"
The Legend of Zelda: Breath of the Wild,96,https://www.metacritic.com/game/wii-u/the-legend-of-zelda-breath-of-the-wild,8.3,"Genre(s): Fantasy, Fantasy, Action Adventure, Open-World"
The Legend of Zelda: A Link Between Worlds,91,https://www.metacritic.com/game/3ds/the-legend-of-zelda-a-link-between-worlds,8.9,"Genre(s): Action RPG, Role-Playing, Action Adventure, General, Action RPG, Open-World"
The Legend of Zelda: Ocarina of Time 3D,94,https://www.metacritic.com/game/3ds/the-legend-of-zelda-ocarina-of-time-3d,9.0,"Genre(s): Miscellaneous, Fantasy, Fantasy, Compilation, Action Adventure, Open-World"
The Legend of Zelda: Skyward Sword,93,https://www.metacritic.com/game/wii/the-legend-of-zelda-skyward-sword,8.1,"Genre(s): Fantasy, General, Fantasy, Action Adventure, Open-World"
The Legend of Zelda: Twilight Princess,95,https://www.metacritic.com/game/wii/the-legend-of-zelda-twilight-princess,9.0,"Genre(s): Action Adventure, Fantasy, General, Fantasy, Open-World"
The Legend of Zelda: Breath of the Wild - The Champions' Ballad,81,https://www.metacritic.com/game/switch/the-legend-of-zelda-breath-of-the-wild---the-champions-ballad,8.4,"Genre(s): Action Adventure, Open-World"
The Legend of Zelda: Majora's Mask,95,https://www.metacritic.com/game/nintendo-64/the-legend-of-zelda-majoras-mask,9.1,"Genre(s): Action Adventure, Fantasy"
The Legend of Zelda: The Wind Waker,96,https://www.metacritic.com/game/gamecube/the-legend-of-zelda-the-wind-waker,9.0,"Genre(s): Action Adventure, Fantasy"
The Legend of Zelda: A Link to the Past,95,https://www.metacritic.com/game/game-boy-advance/the-legend-of-zelda-a-link-to-the-past,9.0,"Genre(s): Action Adventure, Fantasy"
The Legend of Zelda Collector's Edition,95,https://www.metacritic.com/game/gamecube/the-legend-of-zelda-collectors-edition,8.9,"Genre(s): Action Adventure, Fantasy"
The Legend of Zelda: Phantom Hourglass,90,https://www.metacritic.com/game/ds/the-legend-of-zelda-phantom-hourglass,7.9,"Genre(s): Action Adventure, Fantasy, Fantasy, Open-World"
The Legend of Zelda: Twilight Princess,96,https://www.metacritic.com/game/gamecube/the-legend-of-zelda-twilight-princess,8.9,"Genre(s): Action Adventure, Fantasy"
The Legend of Zelda: Majora's Mask 3D,89,https://www.metacritic.com/game/3ds/the-legend-of-zelda-majoras-mask-3d,8.9,"Genre(s): Fantasy, Action Adventure, Open-World"
The Legend of Zelda: The Wind Waker HD,90,https://www.metacritic.com/game/wii-u/the-legend-of-zelda-the-wind-waker-hd,9.0,"Genre(s): Action Adventure, Fantasy, Fantasy, Open-World"
The Legend of Zelda: Twilight Princess HD,86,https://www.metacritic.com/game/wii-u/the-legend-of-zelda-twilight-princess-hd,8.6,"Genre(s): Action Adventure, General, Open-World"
The Legend of Zelda: Spirit Tracks,87,https://www.metacritic.com/game/ds/the-legend-of-zelda-spirit-tracks,7.9,"Genre(s): Action Adventure, Fantasy, Fantasy, Open-World"
The Legend of Zelda: Tri Force Heroes,73,https://www.metacritic.com/game/3ds/the-legend-of-zelda-tri-force-heroes,7.4,"Genre(s): Action Adventure, Open-World"
The Legend of Zelda: Breath of the Wild - The Master Trials,78,https://www.metacritic.com/game/switch/the-legend-of-zelda-breath-of-the-wild---the-master-trials,7.7,"Genre(s): Action Adventure, Open-World"
The Legend of Zelda: The Minish Cap,89,https://www.metacritic.com/game/game-boy-advance/the-legend-of-zelda-the-minish-cap,8.9,"Genre(s): Action Adventure, Fantasy"
The Legend of Zelda: Ocarina of Time / Master Quest,91,https://www.metacritic.com/game/gamecube/the-legend-of-zelda-ocarina-of-time-master-quest,8.9,"Genre(s): Action Adventure, Fantasy"
The Legend of Zelda: Four Swords Adventures,86,https://www.metacritic.com/game/gamecube/the-legend-of-zelda-four-swords-adventures,7.5,"Genre(s): Action Adventure, Fantasy"
The Legend of Zelda: Four Swords Anniversary Edition,85,https://www.metacritic.com/game/ds/the-legend-of-zelda-four-swords-anniversary-edition,7.6,"Genre(s): Action Adventure, Fantasy, General, Fantasy"
Classic NES Series: The Legend of Zelda,84,https://www.metacritic.com/game/game-boy-advance/classic-nes-series-the-legend-of-zelda,8.4,"Genre(s): Role-Playing, Action RPG"
The Legend of Zelda: Link's Awakening DX,tbd,https://www.metacritic.com/game/3ds/the-legend-of-zelda-links-awakening-dx,,"Genre(s): Action Adventure, Fantasy"
The Legend of Zelda: A Link to the Past,tbd,https://www.metacritic.com/game/wii/the-legend-of-zelda-a-link-to-the-past,8.7,"Genre(s): Role-Playing, Action RPG"
The Legend of Zelda: Breath of the Wild - The Champions' Ballad,tbd,https://www.metacritic.com/game/wii-u/the-legend-of-zelda-breath-of-the-wild---the-champions-ballad,8.8,"Genre(s): Action Adventure, Open-World"
The Legend of Zelda: Ocarina of Time,tbd,https://www.metacritic.com/game/wii/the-legend-of-zelda-ocarina-of-time,8.6,"Genre(s): Action Adventure, Fantasy"
My Nintendo Picross - The Legend of Zelda: Twilight Princess,tbd,https://www.metacritic.com/game/3ds/my-nintendo-picross---the-legend-of-zelda-twilight-princess,7.7,"Genre(s): Puzzle, Logic"
The Legend of Zelda: Majora's Mask,tbd,https://www.metacritic.com/game/wii/the-legend-of-zelda-majoras-mask,8.7,"Genre(s): Action Adventure, Fantasy"
Monster Hunter Stories: The Legend of Zelda,tbd,https://www.metacritic.com/game/3ds/monster-hunter-stories-the-legend-of-zelda,tbd,"Genre(s): Role-Playing, Action RPG, Japanese-Style"
The Legend of Zelda: Breath of the Wild - The Master Trials,tbd,https://www.metacritic.com/game/wii-u/the-legend-of-zelda-breath-of-the-wild---the-master-trials,8.6,"Genre(s): Action Adventure, Open-World"
The Legend of Zelda,tbd,https://www.metacritic.com/game/wii/the-legend-of-zelda,8.4,"Genre(s): Action Adventure, Fantasy"
Trivia for The Legend of Zelda - Guess the Game Characters Pic Quiz for Kids,tbd,https://www.metacritic.com/game/ios/trivia-for-the-legend-of-zelda---guess-the-game-characters-pic-quiz-for-kids,tbd,"Genre(s): Miscellaneous, Puzzle, General, Trivia / Game Show"
MegaGame - The Legend Of Zelda Version,tbd,https://www.metacritic.com/game/ios/megagame---the-legend-of-zelda-version,tbd,"Genre(s): Action, General"
The Legend of Zelda Quiz English/Spanish Version,tbd,https://www.metacritic.com/game/ios/the-legend-of-zelda-quiz-englishspanish-version,tbd,"Genre(s): Role-Playing, Miscellaneous, General, General, Trivia / Game Show"
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - Complete Edition,tbd,https://www.metacritic.com/game/switch/cadence-of-hyrule-crypt-of-the-necrodancer-featuring-the-legend-of-zelda---complete-edition,8.7,"Genre(s): Action, Rhythm, Music"
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - DLC 3 Story Pack: Symphony of the Mask,tbd,https://www.metacritic.com/game/switch/cadence-of-hyrule-crypt-of-the-necrodancer-featuring-the-legend-of-zelda---dlc-3-story-pack-symphony-of-the-mask,tbd,"Genre(s): Action, Rhythm, Music"
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - DLC 2 Melody Pack,tbd,https://www.metacritic.com/game/switch/cadence-of-hyrule-crypt-of-the-necrodancer-featuring-the-legend-of-zelda---dlc-2-melody-pack,tbd,"Genre(s): Action, Rhythm, Music"
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - DLC 1 Character Pack,tbd,https://www.metacritic.com/game/switch/cadence-of-hyrule-crypt-of-the-necrodancer-featuring-the-legend-of-zelda---dlc-1-character-pack,tbd,"Genre(s): Action, Rhythm, Music"
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda,85,https://www.metacritic.com/game/switch/cadence-of-hyrule-crypt-of-the-necrodancer-featuring-the-legend-of-zelda,8.0,"Genre(s): Action, Rhythm, Music"
The Legend of Zelda: Breath of the Wild 2,tbd,https://www.metacritic.com/game/switch/the-legend-of-zelda-breath-of-the-wild-2,,"Genre(s): Action Adventure, Open-World"
